Date,Shape,Rate
2016-01-01,1.0,0.5
2016-01-02,1.0,0.5
2016-01-03,1.0,0.5
2016-01-04,1.0,0.5
2016-01-05,1.0,0.5
2016-01-06,1.0,0.5
2016-01-07,1.0,0.5
2016-01-08,1.0,0.5
2016-01-09,1.0,0.5
2016-01-10,1.0,0.5
2016-01-11,1.0,0.5
2016-01-12,1.0,0.5
2016-01-13,1.0,0.5
2016-01-14,1.0,0.5
2016-01-15,1.0,0.5
2016-01-16,1.0,0.5
2016-01-17,1.0,0.5
2016-01-18,1.0,0.5
2016-01-19,1.0,0.5
2016-01-20,1.0,0.5
2016-01-21,1.0,0.5
2016-01-22,1.0,0.5
2016-01-23,1.0,0.5
2016-01-24,1.0,0.5
2016-01-25,1.0,0.5
2016-01-26,1.0,0.5
2016-01-27,1.0,0.5
2016-01-28,1.5062301526618436,0.6136428425113919
2016-01-29,2.7912236718998993,0.8353477826480267
2016-01-30,4.64921912107814,1.0781023978590971
2016-01-31,7.027022095449509,1.3254265441216941
2016-02-01,9.716242993323203,1.5585444325815034
2016-02-02,12.393721340821159,1.760235874877367
2016-02-03,14.687896556181771,1.9162395828928707
2016-02-04,14.263859305559452,1.7668379821678195
2016-02-05,11.663200126397344,1.4106264616439035
2016-02-06,9.598423214866472,1.1585740727561002
2016-02-07,7.991617687329885,0.9773244021236989
2016-02-08,6.770545847755433,0.8456578751921872
2016-02-09,5.876190067480482,0.7504628758350915
2016-02-10,5.263688575294745,0.6838592843843926
2016-02-11,4.898628840194894,0.640815369281807
2016-02-12,4.756243826183206,0.6180137690657699
2016-02-13,4.823033443800306,0.613756861175738
2016-02-14,5.094304356190195,0.6277392229438311
2016-02-15,5.5651611794100075,0.6604270832168513
2016-02-16,6.207816357839006,0.7111275801460122
2016-02-17,6.940377528035271,0.774923671504011
2016-02-18,7.634733093627055,0.8431419428664563
2016-02-19,8.180906411723903,0.908744470194915
2016-02-20,8.529932816644457,0.9693970880591213
2016-02-21,8.681693626512066,1.025808878277545
2016-02-22,8.670387073895029,1.0806738270289258
2016-02-23,8.55696948399353,1.1390997617122045
2016-02-24,8.415857566995014,1.2088825593619188
2016-02-25,8.33065104761338,1.3017815784548619
2016-02-26,8.40451593889767,1.4367797827048987
2016-02-27,7.120498766607832,1.3342131357665303
2016-02-28,5.977388463413568,1.2224349127268053
2016-02-29,5.1515360624687,1.1348497766740648
2016-03-01,4.656082062464472,1.0788978244561058
2016-03-02,4.495482097588524,1.0601275981678484
2016-03-03,4.672160174622628,1.0807590127570794
2016-03-04,5.190452143633282,1.1391281911656477
2016-03-05,6.0455466324503515,1.2293846664541526
2016-03-06,7.1930079411777,1.34098918164705
2016-03-07,8.51497862703335,1.459021815038534
2016-03-08,9.82965086210817,1.5676137009885576
2016-03-09,10.961814885725662,1.6554315816219696
2016-03-10,11.783428099975676,1.716349913331754
2016-03-11,12.19283705460603,1.7459121580570736
2016-03-12,12.134824505929192,1.741753750242065
2016-03-13,11.662281560249651,1.7075041405696247
2016-03-14,10.940667867988072,1.6538340203892947
2016-03-15,10.183358491482332,1.595568745893007
2016-03-16,9.587562314291722,1.548189451770335
2016-03-17,9.306817262478505,1.525353832925209
2016-03-18,9.446443351154285,1.5367533431844458
2016-03-19,9.231598336685671,1.454812899337959
2016-03-20,7.965532316831229,1.1909447170167407
2016-03-21,6.666616351278395,0.9319605283557799
2016-03-22,5.5040842803372625,0.7123646475902045
2016-03-23,4.591624594063418,0.5460519942301224
2016-03-24,3.9411890148274957,0.4285875789226693
2016-03-25,3.499804214282571,0.3479095575021284
2016-03-26,3.2030365490414345,0.29260031255555086
2016-03-27,2.998057045464031,0.25440285381796385
2016-03-28,2.8500327539734496,0.22820343036588317
2016-03-29,2.744562734670619,0.21135650899127462
2016-03-30,2.6795551297597187,0.20221625651262803
2016-03-31,2.6538635676349114,0.19896917146130455
2016-04-01,2.665911382083181,0.19977528673266196
2016-04-02,2.7171122083144836,0.20336008881487017
2016-04-03,2.811626822226307,0.2091821398091389
2016-04-04,2.9536781150562605,0.21734736935717883
2016-04-05,3.14269004639791,0.2282830869524092
2016-04-06,3.3653458492715944,0.2420408513075718
2016-04-07,3.5916862010542094,0.25771096386926695
2016-04-08,3.781290172811898,0.2734082625112758
2016-04-09,3.8954566822714862,0.28673019208638284
2016-04-10,3.9091088945593206,0.29538181986723355
2016-04-11,3.816121820214235,0.2975923239422592
2016-04-12,3.6277095096449434,0.2923701317215203
2016-04-13,3.3700782247657326,0.27989669698237546
2016-04-14,3.079922867253275,0.26167856291273245
2016-04-15,2.7956948972228006,0.24015055507170163
2016-04-16,2.5489263704646565,0.21799992057453868
2016-04-17,2.3588685141084555,0.19743661766320714
2016-04-18,2.2322016857287035,0.17975049522820158
2016-04-19,2.167286314077388,0.1654247133526276
2016-04-20,2.1588848382928987,0.15447806426572425
2016-04-21,2.2005266898343696,0.1466849174401456
2016-04-22,2.2849690881551004,0.14169058415944838
2016-04-23,2.4034183327141303,0.13904352851588886
2016-04-24,2.543702276938999,0.13815257433794967
2016-04-25,2.689783035783236,0.13832123530929724
2016-04-26,2.825577459625545,0.1389423500624872
2016-04-27,2.9413313602265276,0.13970142546596495
2016-04-28,3.0367117634265575,0.14059025570517067
2016-04-29,3.1186612195139545,0.14179626927547934
2016-04-30,3.197912720740152,0.14364681998189632
2016-05-01,3.2859897108960374,0.1465381056037426
2016-05-02,3.3905324901674914,0.15073138178599355
2016-05-03,3.509281437409734,0.15611738573568984
2016-05-04,3.6280119721585216,0.16214802311707496
