cutoff,mean,std
0.02000000,0.48317486,0.95771327
0.03000000,0.32861153,0.81031621
0.04000000,0.18128277,0.67181149
0.05000000,0.09798831,0.59396981
0.06000000,0.06042044,0.55765617
0.07000000,0.04375044,0.53998832
0.08000000,0.03487210,0.52884269
0.09000000,0.02801305,0.51864172
0.10000000,0.02115786,0.50740329
0.11000000,0.01410902,0.49506629
0.12000000,0.00729366,0.48226710
0.13000000,0.00114162,0.46965626
0.14000000,-0.00410983,0.45768646
0.15000000,-0.00840097,0.44661971
0.16000000,-0.01177986,0.43658159
0.17000000,-0.01434389,0.42760575
0.18000000,-0.01620538,0.41966426
0.19000000,-0.01747570,0.41268917
0.20000000,-0.01825974,0.40658835
0.21000000,-0.01865490,0.40125673
0.22000000,-0.01875117,0.39658372
0.23000000,-0.01863104,0.39245785
0.24000000,-0.01836891,0.38876987
0.25000000,-0.01803026,0.38541521
0.26000000,-0.01767084,0.38229627
0.27000000,-0.01733623,0.37932472
0.28000000,-0.01706166,0.37642369
0.29000000,-0.01687241,0.37352942
0.30000000,-0.01678438,0.37059231
0.31000000,-0.01680509,0.36757712
0.32000000,-0.01693474,0.36446234
0.33000000,-0.01716751,0.36123898
0.34000000,-0.01749279,0.35790882
0.35000000,-0.01789653,0.35448233
0.36000000,-0.01836241,0.35097649
0.37000000,-0.01887305,0.34741258
0.38000000,-0.01941097,0.34381406
0.39000000,-0.01995948,0.34020468
0.40000000,-0.02050331,0.33660702
0.41000000,-0.02102906,0.33304130
0.42000000,-0.02152549,0.32952473
0.43000000,-0.02198358,0.32607116
0.44000000,-0.02239650,0.32269113
0.45000000,-0.02275947,0.31939208
0.46000000,-0.02306956,0.31617863
0.47000000,-0.02332544,0.31305295
0.48000000,-0.02352718,0.31001498
0.49000000,-0.02367602,0.30706256
0.50000000,-0.02377415,0.30419150
0.51000000,-0.02382456,0.30139553
0.52000000,-0.02383084,0.29866631
0.53000000,-0.02379703,0.29599339
0.54000000,-0.02372748,0.29336435
0.55000000,-0.02362668,0.29076498
0.56000000,-0.02349914,0.28817955
0.57000000,-0.02334927,0.28559123
0.58000000,-0.02318129,0.28298236
0.59000000,-0.02299916,0.28033486
0.60000000,-0.02280656,0.27763051
0.61000000,-0.02260685,0.27485121
0.62000000,-0.02240313,0.27197930
0.63000000,-0.02219819,0.26899789
0.64000000,-0.02199460,0.26589129
0.65000000,-0.02179470,0.26264565
0.66000000,-0.02160064,0.25924979
0.67000000,-0.02141438,0.25569625
0.68000000,-0.02123767,0.25198253
0.69000000,-0.02107208,0.24811236
0.70000000,-0.02091890,0.24409691
0.71000000,-0.02077909,0.23995568
0.72000000,-0.02065315,0.23571675
0.73000000,-0.02054100,0.23141624
0.74000000,-0.02044166,0.22709692
0.75000000,-0.02035292,0.22280606
0.76000000,-0.02027088,0.21859262
0.77000000,-0.02018948,0.21450423
0.78000000,-0.02010008,0.21058365
0.79000000,-0.01999119,0.20686501
0.80000000,-0.01984854,0.20336989
